Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
cifar10,8,0.000282807,3,8,0.5995,0.044497734,0.598279597,0.59794647,0.598279597,0.918057448,0.634062906,61.6594522,0.048894644
cifar10,9,0.000146184,3,2,0.589,0.045661516,0.588167628,0.591902389,0.588167628,0.91405141,0.622402885,127.045644,0.077467918
uc_merced,0,5.56E-06,1,4,0.067307692,0.04662079,0.067195767,0.064038172,0.067195767,0.541404594,0.067838494,34.45945978,0.049680233
uc_merced,1,8.31E-05,1,3,0.071428571,0.046428571,0.071428571,0.070677867,0.071428571,0.486928571,0.054189175,35.11959672,0.049747467
uc_merced,2,0.006654628,3,2,0.038095238,0.048095238,0.038095238,0.0411149,0.038095238,0.463309524,0.047403126,56.3795619,0.058135271
uc_merced,3,1.02E-06,0,6,0.071428571,0.046428571,0.071428571,0.100328075,0.071428571,0.524785714,0.055777498,24.23983979,0.04058814
uc_merced,4,3.77E-06,3,5,0.052380952,0.047380952,0.052380952,0.048179634,0.052380952,0.524047619,0.074314708,53.78729844,0.0505445
uc_merced,5,2.74E-05,3,8,0.033653846,0.048318795,0.033333333,0.03707771,0.033333333,0.51305167,0.060315017,53.3500464,0.049143553
uc_merced,6,1.51E-05,0,3,0.047619048,0.047619048,0.047619048,0.079305139,0.047619048,0.493047619,0.061539319,25.3635056,0.042342663
uc_merced,7,3.34E-05,0,8,0.043269231,0.04784988,0.043386243,0.032345749,0.043386243,0.517525579,0.055730916,23.88507676,0.037243843
uc_merced,8,1.01E-06,2,2,0.052380952,0.047380952,0.052380952,0.054882134,0.052380952,0.529380952,0.060067627,46.65811205,0.047723293
uc_merced,9,1.24E-05,2,3,0.057142857,0.047142857,0.057142857,0.059542045,0.057142857,0.493761905,0.051823074,44.95706749,0.046230793
svhn_cropped,0,0.000885531,3,8,0.8575,0.016010789,0.844791287,0.850973678,0.844791287,0.983877463,0.916813335,93.770648,0.064857483
svhn_cropped,1,0.001135607,3,8,0.8565,0.01610905,0.85180045,0.84997586,0.85180045,0.982095021,0.915150065,94.08351374,0.043236971
svhn_cropped,2,0.001203996,3,8,0.8485,0.017040573,0.83713063,0.842153894,0.83713063,0.982145305,0.915019146,93.61528134,0.046753645
svhn_cropped,3,0.000479812,3,2,0.867,0.014946261,0.855312464,0.859307725,0.855312464,0.983315023,0.915654877,128.7501628,0.066545963
